หมายเหตุ : รายได้จากการท่องเที่ยว รวมทั้งรายได้จากนักท่องเที่ยว (Business Leisure) ที่เดินทางมาประเทศไทย ปี 2564 และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564 และมีการเก็บค่าใช้จ่ายในหมวด Medical Care เนื่องจากสถานการณ์โควิด-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,
Grand Total,,,,,,,,,,Inbound,,,,,,,,,,Stock,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
Canada,"1,453.75",219.65,24.81,2.61,550.13,453.67,97.04,100.73,5.11,Canada,"1,188.30",193.62,24.77,2.61,471.68,367.91,72.26,51.20,4.25,Canada,265.45,26.03,0.04,0.00,78.45,85.76,24.78,49.53,0.86
USA,"8,569.76","2,377.86",84.36,19.00,"2,497.84","2,517.68",561.50,483.24,28.28,USA,"7,567.30","2,245.41",84.04,18.98,"2,208.98","2,196.85",476.73,311.70,24.61,USA,"1,002.46",132.45,0.32,0.02,288.86,320.83,84.77,171.54,3.67
Others  in America,362.00,100.30,6.20,0.00,43.45,125.17,29.52,56.97,0.39,Others  in America,293.12,88.19,6.20,0.00,43.45,92.75,21.05,41.09,0.39,Others  in America,68.88,12.11,0.00,0.00,0.00,32.42,8.47,15.88,0.00
South Asia,"4,560.51",840.34,45.72,1.14,"1,466.66","1,379.44",310.33,510.67,6.21,South Asia,"3,384.39",716.91,44.42,1.14,"1,069.14",945.17,168.54,433.44,5.63,South Asia,"1,176.12",123.43,1.30,0.00,397.52,434.27,141.79,77.23,0.58
Bangladesh,558.38,60.53,2.36,0.05,81.30,89.84,19.34,304.42,0.54,Bangladesh,483.89,46.19,2.36,0.05,61.55,67.49,11.23,294.52,0.50,Bangladesh,74.49,14.34,0.00,0.00,19.75,22.35,8.11,9.90,0.04
India,"2,855.44",566.37,24.20,0.64,"1,063.58",925.10,194.15,77.82,3.58,India,"1,922.00",471.31,22.90,0.64,731.52,568.63,85.89,37.93,3.18,India,933.44,95.06,1.30,0.00,332.06,356.47,108.26,39.89,0.40
Nepal,213.06,37.63,2.83,0.05,74.78,46.56,27.15,23.93,0.13,Nepal,162.12,33.44,2.83,0.05,61.00,34.93,21.11,8.63,0.13,Nepal,50.94,4.19,0.00,0.00,13.78,11.63,6.04,15.30,0.00
Pakistan,367.07,71.37,13.10,0.28,91.03,144.04,37.79,9.18,0.28,Pakistan,325.19,65.81,13.10,0.28,82.32,128.99,27.55,6.98,0.16,Pakistan,41.88,5.56,0.00,0.00,8.71,15.05,10.24,2.20,0.12
Sri Lanka,142.81,23.97,0.56,0.03,41.48,46.24,8.94,19.94,1.65,Sri Lanka,115.67,22.20,0.56,0.03,33.28,34.46,5.96,17.53,1.65,Sri Lanka,27.14,1.77,0.00,0.00,8.20,11.78,2.98,2.41,0.00
Others in South Asia,423.75,80.47,2.67,0.09,114.49,127.66,22.96,75.38,0.03,Others in South Asia,375.52,77.96,2.67,0.09,99.47,110.67,16.80,67.85,0.01,Others in South Asia,48.23,2.51,0.00,0.00,15.02,16.99,6.16,7.53,0.02
Oceania,"2,627.77",382.83,87.63,4.63,697.11,982.44,172.69,285.54,14.90,Oceania,"1,981.45",315.96,84.69,4.57,504.33,716.19,116.42,233.37,5.92,Oceania,646.32,66.87,2.94,0.06,192.78,266.25,56.27,52.17,8.98
Australia,"2,218.92",336.37,67.95,4.37,551.29,848.47,133.35,265.74,11.38,Australia,"1,691.69",285.07,65.54,4.31,393.02,629.77,87.12,222.88,3.98,Australia,527.23,51.30,2.41,0.06,158.27,218.70,46.23,42.86,7.40
New Zealand,353.32,38.64,18.21,0.24,128.63,113.29,35.73,15.29,3.29,New Zealand,241.77,24.03,17.68,0.24,96.34,68.81,26.32,6.54,1.81,New Zealand,111.55,14.61,0.53,0.00,32.29,44.48,9.41,8.75,1.48
Others  in Ociania,55.53,7.82,1.47,0.02,17.19,20.68,3.61,4.51,0.23,Others  in Ociania,47.99,6.86,1.47,0.02,14.97,17.61,2.98,3.95,0.13,Others  in Ociania,7.54,0.96,0.00,0.00,2.22,3.07,0.63,0.56,0.10
Middle East,"4,265.24",736.40,40.66,2.57,"1,508.05","1,242.07",209.84,508.10,17.55,Middle East,"3,631.57",642.15,40.66,2.57,"1,303.91",995.86,151.64,479.93,14.85,Middle East,633.67,94.25,0.00,0.00,204.14,246.21,58.20,28.17,2.70
Egypt,85.90,5.46,2.10,0.67,26.89,39.34,8.84,2.14,0.46,Egypt,63.15,4.97,2.10,0.67,21.24,28.43,3.81,1.47,0.46,Egypt,22.75,0.49,0.00,0.00,5.65,10.91,5.03,0.67,0.00
Israel,"1,493.09",100.96,27.96,0.62,682.36,464.35,67.84,138.98,10.02,Israel,"1,368.95",96.71,27.96,0.62,625.04,423.73,56.00,129.85,9.04,Israel,124.14,4.25,0.00,0.00,57.32,40.62,11.84,9.13,0.98
Kuwait,591.94,116.92,1.84,0.92,141.17,208.53,35.79,85.62,1.15,Kuwait,449.60,86.07,1.84,0.92,128.61,127.84,19.08,84.09,1.15,Kuwait,142.34,30.85,0.00,0.00,12.56,80.69,16.71,1.53,0.00
Saudi Arabia,70.14,11.78,0.45,0.03,21.37,22.19,4.38,9.77,0.17,Saudi Arabia,55.33,7.50,0.45,0.03,19.06,15.04,3.60,9.48,0.17,Saudi Arabia,14.81,4.28,0.00,0.00,2.31,7.15,0.78,0.29,0.00
U.A.E.,370.16,55.65,3.48,0.33,156.43,116.01,18.87,17.32,2.07,U.A.E.,297.69,48.48,3.48,0.33,127.99,96.17,11.89,7.91,1.44,U.A.E.,72.47,7.17,0.00,0.00,28.44,19.84,6.98,9.41,0.63
Others in Middle East,"1,654.01",445.63,4.83,0.00,479.83,391.65,74.12,254.27,3.68,Others in Middle East,"1,396.85",398.42,4.83,0.00,381.97,304.65,57.26,247.13,2.59,Others in Middle East,257.16,47.21,0.00,0.00,97.86,87.00,16.86,7.14,1.09
Africa,"1,000.19",288.68,8.66,0.10,253.89,283.86,121.89,31.24,11.87,Africa,739.30,236.68,8.66,0.10,176.90,205.08,86.16,13.85,11.87,Africa,260.89,52.00,0.00,0.00,76.99,78.78,35.73,17.39,0.00
South  Africa,312.33,89.42,1.00,0.10,107.47,64.73,30.42,18.38,0.81,South  Africa,192.98,61.91,1.00,0.10,57.42,52.94,12.74,6.06,0.81,South  Africa,119.35,27.51,0.00,0.00,50.05,11.79,17.68,12.32,0.00
Others in Africa,687.86,199.26,7.66,0.00,146.42,219.13,91.47,12.86,11.06,Others in Africa,546.32,174.77,7.66,0.00,119.48,152.14,73.42,7.79,11.06,Others in Africa,141.54,24.49,0.00,0.00,26.94,66.99,18.05,5.07,0.00
Grand Total,"98,086.35","16,844.34","1,915.69",109.82,"33,617.74","32,113.78","6,976.03","6,037.91",471.04,Grand Total,"74,192.80","13,612.49","1,834.35",107.44,"25,753.88","24,031.93","4,648.47","3,938.17",266.07,Grand Total,"23,893.55","3,231.85",81.34,2.38,"7,863.86","8,081.85","2,327.56","2,099.74",204.97
หมายเหตุ : เป็นรายได้จากนักท่องเที่ยวชาวต่างชาติ ทั้งที่เดินทางมาประเทศไทยในปี 2564 และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564,,,,,,,,,,หมายเหตุ : เป็นรายได้จากนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยในปี 2564 ,,,,,,,,,,หมายเหตุ : เป็นรายได้จากนักท่องเที่ยวชาวต่างชาติ ที่เดินทางมาประเทศไทยก่อนปี 2564,,,,,,,,,
